IndexNumber_Target,CCT_Target,Duv_Target,Duv_signed,CIEu1960_Target,CIEv1960_Target,CIEu1976_Target,CIEv1976_Target
216,3456,0.00599999999999999,-0.00599999999999999,0.239597401283326,0.33611486182801,0.239597401283326,0.504172292742016
217,3456,0.00899999999999996,-0.00899999999999996,0.240986671374989,0.333455928092016,0.240986671374989,0.500183892138024
218,3456,0.012,-0.012,0.242375941466651,0.330796994356021,0.242375941466651,0.496195491534031
219,3456,0.015,-0.015,0.243765211558314,0.328138060620026,0.243765211558314,0.492207090930039
220,3456,0.018,-0.018,0.245154481649977,0.325479126884031,0.245154481649977,0.488218690326047
221,3456,0.021,-0.021,0.24654375174164,0.322820193148037,0.24654375174164,0.484230289722055
222,3456,0.024,-0.024,0.247933021833303,0.320161259412042,0.247933021833303,0.480241889118063
223,3456,0.027,-0.027,0.249322291924966,0.317502325676047,0.249322291924966,0.476253488514071
224,3456,0.03,-0.03,0.250711562016628,0.314843391940052,0.250711562016628,0.472265087910078
225,3456,0.033,-0.033,0.252100832108291,0.312184458204058,0.252100832108291,0.468276687306086
226,3456,0.036,-0.036,0.253490102199954,0.309525524468063,0.253490102199954,0.464288286702094
227,3456,0.039,-0.039,0.254879372291617,0.306866590732068,0.254879372291617,0.460299886098102
228,3456,0.042,-0.042,0.25626864238328,0.304207656996073,0.25626864238328,0.45631148549411
229,3456,0.045,-0.045,0.257657912474943,0.301548723260078,0.257657912474943,0.452323084890118
230,3456,0.048,-0.048,0.259047182566606,0.298889789524084,0.259047182566606,0.448334684286125
231,3642,0.00300000000000004,0.00300000000000004,0.230838326756932,0.341564529642134,0.230838326756932,0.512346794463201
232,3642,0.00600000000000003,0.00600000000000003,0.229333617013863,0.344159880984267,0.229333617013863,0.516239821476401
233,3642,0.00900000000000002,0.00900000000000002,0.227828907270795,0.346755232326401,0.227828907270795,0.520132848489601
234,3642,0.012,0.012,0.226324197527726,0.349350583668535,0.226324197527726,0.524025875502802
